Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 1,"Asch (Landsberg am Lech), Pfarrkirche St. Johannes Baptist",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 22.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,22,22,Asch (Landsberg am Lech)
Band 1,"Hagenheim, Filialkirche Unsere Liebe Frau",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 86.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,86,86,Hagenheim
Band 2,"Ettal, Benediktinerabtei, Refektoriumsgang",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Ettal, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 329-330.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,329,330,Ettal
Band 2,"Benediktbeuern, ehem. Benediktinerabtei, Zelle im Osttrakt",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Benediktbeuern, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 73.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,73,73,Benediktbeuern
Band 2,"Beuerberg, ehem. Augustinerchorherrenstift, Festsaal",0,Sakral,"Siehe die publizierten Bände des Vorgängerprojekts: Beuerberg, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 2: Freistaat Bayern. Regierungsbezirk Oberbayern. Die Landkreise Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen, Miesbach, München 1981, S. 136-137.","Bachter, Falk/Bauer-Wild, Anna/Böhm, Cordula/Lüdicke, Lore/Sinkel, Kristin",,X,,136,137,Beuerberg
"Band 3, I","München, Bibliothek des Klosters der Augustiner-Eremiten",0,Sakral,"Kloster der Augustiner-Eremiten, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 263.","Bauer-Wild, Anna",,X,,263,263,München
"Band 3, I","München, Kirche und Kloster des ehem. Pütrich-Regel-Hauses",0,Sakral,"Pütrich-Kloster, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 1: Sakralbauten, München 1987, S. 266-267.","Bauer-Wild, Anna",,X,,266,267,München
"Band 3, II","München, Residenz",0,Profan,"Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 19-32.","Volk-Knüttel, Brigitte",X,,,19,32,München
"Band 3, II","München, Wohnung der Kurfürstin Henriette Adelaide ab 1667 der Münchner Residenz",0,Profan,"Wohnung der Kurfürstin Henriette Adelaide ab 1667 der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 219-220.","Bauer-Wild, Anna",,X,,219,220,München
"Band 3, II","Oberschleißheim, Neues Schloss Schleißheim, Jagdkabinett oder Rotes Kabinett",0,Profan,"Neues Schloss, Jagdkabinett oder Rotes Kabinett, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 534-536.","Bauer-Wild, Anna",,,,534,536,Oberschleißheim
