Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
Band 1,"Adelshausen (Weil), Kapelle St. Martin",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 19-21.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,"Im gesamten Band keine Hinweise auf die Autoren der einzelnen wissenschaftlichen Texte, daher Nennung aller bei jedem Eintrag?!?!?",19,21,Adelshausen (Weil)
Band 1,"Asch (Landsberg am Lech), Pfarrkirche St. Johannes Baptist",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 22.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,22,22,Asch (Landsberg am Lech)
Band 1,"Beuerbach (Weil), Kapelle im Holz Maria Eich",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 23-24.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,23,24,Beuerbach (Weil)
Band 1,"Beuern, Pfarrkirche St. Michael",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 25-27.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,25,27,Beuern
Band 1,"Bischofsried, Maria-Schnee-Kapelle",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 28-29.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,28,29,Bischofsried
Band 1,"Denklingen, Pfarrkirche St. Michael",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 30-36.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,30,36,Denklingen
Band 1,"Dienhausen, Kapelle St. Magnus",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 37.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,37,37,Dienhausen
Band 1,"Dießen a. Ammersee, ehem. Augustiner-Chorherrenstiftskirche Mariä Himmelfahrt",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 38-47.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,38,47,Dießen a. Ammersee
Band 1,"Eching a. Ammersee, Pfarrkirche St. Peter und Paul",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 48-53.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,48,53,Eching a. Ammersee
Band 1,"Egling a. d. Paar, Pfarrkirche St. Vitus",0,Sakral,"Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 1: Freistadt Bayern. Regierungsbezirk Oberbayern. Die Landkreise Landsberg am Lech, Starnberg, Weilheim-Schongau, München 1976, S. 54-62.","Bauer-Wild, Anna / Böhm, Cordula / Lüdicke, Lore / Werner-Clementschitsch, Heide",,X,,54,62,Egling a. d. Paar
