Band,Bauwerk,Modul,Eigenschaft,Literaturangabe,Autor,Eingabe komplett,"Datenbankeintrag (Bild, Kurztext, Literaturverweis, basis Strukturdaten)",Notiz,Seite_von,Seite_bis,Ort
"Band 3, II","München, Residenz",0,Profan,"Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 19-32.","Volk-Knüttel, Brigitte",X,,,19,32,München
"Band 3, II","München, Lusthaus im nachmaligen Hofgarten",0,Profan,"Lusthaus im nachmaligen Hofgarten, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 33-48.","Bauer-Wild, Anna",X,,,33,48,München
"Band 3, II","München, Residenz, Grottenhofhallen",0,Profan,"Grottenhofhallen der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 49-66.",???,X,,,49,66,München
"Band 3, II","München, Residenz, Antiquarium",0,Profan,"Antiquarium der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 67-117.","Volk-Knüttel, Brigitte",X,,,67,117,München
"Band 3, II","München, Residenz, Schwarzer Saal",0,Profan,"Schwarzer Saal der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 117-119.",F.B.,X,,,117,119,München
"Band 3, II","München, Residenz, Erdgeschoßzimmer",0,Profan,"Erdgeschoßzimmer der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 120-129.","Volk-Knüttel, Brigitte",X,,,120,129,München
"Band 3, II","München, Residenz, Pavillon, Loggia mit Seitenkabinetten und »Rundzimmer«",0,Profan,"Pavillon, Loggia mit Seitenkabinetten und »Rundzimmer« der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 130-131.","Volk-Knüttel, Brigitte",X,,,130,131,München
"Band 3, II","München, Residenz, Ehemalige Appartements im sog. Charlottentrakt",0,Profan,"Ehemalige Appartements im sog. Charlottentrakt der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 132-137.","Volk-Knüttel, Brigitte",X,,,132,137,München
"Band 3, II","München, Residenz, Trierzimmer",0,Profan,"Trierzimmer der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 137-168.","Volk-Knüttel, Brigitte",X,,,137,168,München
"Band 3, II","München, Residenz, Halle zu den Vier Schäften und Kaisertreppe",0,Profan,"Halle zu den Vier Schäften und Kaisertreppe der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 168-176.","Volk-Knüttel, Brigitte",X,,,168,176,München
"Band 3, II","München, Residenz, Kaisersaal",0,Profan,"Kaisersaal der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 177-196.","Volk-Knüttel, Brigitte",X,,,177,196,München
"Band 3, II","München, Residenz, Theatinergang",0,Profan,"Theatinergang der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 197-210.","Volk-Knüttel, Brigitte",X,,,197,210,München
"Band 3, II","München, Residenz, Hans-Steininger-Treppe",0,Profan,"Hans-Steininger-Treppe der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 210-212.","Volk-Knüttel, Brigitte",X,,,210,212,München
"Band 3, II","München, Residenz, Gartentempel im Hofgarten",0,Profan,"Gartentempel, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 213-214.","Volk-Knüttel, Brigitte",X,,,213,214,München
"Band 3, II","München, Residenz, ehem. Hofapotheke",0,Profan,"Hofapotheke, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 214.","Bauer-Wild, Anna",,X,,214,214,München
"Band 3, II","München, Residenz, Schreibzimmer der Kurfürstin Maria Anna",0,Profan,"Schreibzimmer der Kurfürstin Maria Anna der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 215.","Bauer-Wild, Anna",,X,,215,215,München
"Band 3, II","München, Residenz, Turnierhaus im Hofgarten",0,Profan,"Turnierhaus, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 215-216.","Baur, Eva-Gesine/Volk-Knüttel, Brigitte",,X,,215,216,München
"Band 3, II","München, Residenz, Galerie mit Kabinett der Kurfürstin Henriette Adelaide vor 1667",0,Profan,"Galerie mit Kabinett der Kurfürstin Henriette Adelaide vor 1667 der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 216-218.","Bauer-Wild, Anna",,X,,216,218,München
"Band 3, II","München, Residenz, Wohnung der Kurfürstin Henriette Adelaide ab 1667",0,Profan,"Wohnung der Kurfürstin Henriette Adelaide ab 1667 der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 219-220.","Bauer-Wild, Anna",,X,,219,220,München
"Band 3, II","München, Residenz, Zwei ehemalige Vorzimmer und der sog. Goldene Saal der Kurfürstin Henriette Adelaide",0,Profan,"Zwei ehemalige Vorzimmer und der sog. Goldene Saal der Kurfürstin Henriette Adelaide in der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 220-233.","Bauer-Wild, Anna",,X,,220,233,München
"Band 3, II","München, Residenz, Grottenzimmer, Schlafzimmer und Herzkabinett der Kurfürstin Henriette Adelaide",0,Profan,"Grottenzimmer, Schlafzimmer und Herzkabinett der Kurfürstin Henriette Adelaide in der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 233-249.","Bauer-Wild, Anna",,X,,233,249,München
"Band 3, II","München, Residenz, Galerie und angrenzende Kabinette der Kurfürstin Henriette Adelaide",0,Profan,"Galerie und angrenzende Kabinette der Kurfürstin Henriette Adelaide in der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 250-274.","Bauer-Wild, Anna",,X,,250,274,München
"Band 3, II","München, Residenz, Ehemalige Alexanderzimmer",0,Profan,"Ehemalige Alexanderzimmer der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 275-291.","Bauer-Wild, Anna",,X,,275,291,München
"Band 3, II","München, Residenz, Ehemalige Sommerzimmer",0,Profan,"Ehemalige Sommerzimmer der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 292-298.","Bauer-Wild, Anna",,X,,292,298,München
"Band 3, II","München, Residenz, Vierschimmelsaal und Steinzimmer",0,Profan,"Vierschimmelsaal und Steinzimmer der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 299-334.","Bauer-Wild, Anna",,X,,299,334,München
"Band 3, II","München, Residenz, Ahnengalerie",0,Profan,"Ahnengalerie der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 334-338.",F.B.,,X,,334,338,München
"Band 3, II","München, Residenz, Grüne Galerie",0,Profan,"Grüne Galerie der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 339-343.",F.B.,,X,,339,343,München
"Band 3, II","München, Residenz, Prunktreppenhaus",0,Profan,"Prunktreppenhaus der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 343.",F.B.,,X,,343,343,München
"Band 3, II","München, Residenz, Speisesaal",0,Profan,"Speisesaal der Münchner Residenz, in: Bauer, Hermann/Rupprecht, Bernhard: Corpus der barocken Deckenmalerei in Deutschland, Bd. 3: Freistadt Bayern. Regierungsbezirk Oberbayern. Stadt und Landkreis München, Teil 2: Profanbauten, München 1989, S. 344-345.",F.B.,,X,,344,345,München
